abortion_2,Where did you get that ?,NoArgument
abortion_4,In this case we may never do evil ( directly attack and kill a child via abortion ) so that good ( saving the life of the mother ) may result .,Argument_against
abortion_6,"The choice — the only actual choice , in the world as it really is — is between safe , legal abortion and dangerous , illegal abortion .",Argument_for
abortion_7,It is heartwarming to see a support structure for women being developed to counter the circumstances ( including poverty and the convenience of some males ) that prompt abortion .,NoArgument
abortion_8,It stood in marked contrast to the more primitive medical traditions that blurred the lines between killing and curing .,NoArgument
abortion_9,There is no third possibility .,NoArgument
abortion_11,"But I am glad I do n't live in a society with a "" you had sex , ( or were raped ) it 's your problem now , no matter how much you hate kids "" approach to parenthood .",Argument_for
abortion_12,"Many more studies of individual disorders among children ( ADHD , asthma , cystic fibrosis , Duchenne muscular dystrophy — the list goes on , and yes , it includes Down Syndrome ) consistently reveal poor mental health in their mothers compared to controls ( depression and anxiety are most commonly studied ) .",NoArgument
abortion_13,"We live in a world where “ post-birth abortion ” , the murder of newborns , is gaining popularity .",Argument_against
abortion_14,We have quotes from hospital documents that doctors told her her chance of dying was close to 100 % without the procedure .,Argument_for
abortion_15,It is my privilege to care for her each day . ”,NoArgument
abortion_17,What is abortion in each of these four cases ?,NoArgument
abortion_18,"And Mitt Romney is as strong as anybody on this issue , to seeing to an end to the Castro regime , and that ’s why I think Cuban Americans are very supportive of the Romney-Ryan ticket .",NoArgument
abortion_19,"There are dozens of birth control methods that can keep you from becoming pregnant , including the 100 percent effective one : abstinence .",Argument_against
abortion_20,Women who have their first pregnancy terminated have five times the chance of having ectopic pregnancies .,Argument_against
abortion_22,5 Liberty arguments focus less on these gendered biases and burdens on women .,NoArgument
abortion_24,Justice Samuel Alito is having none of it .,NoArgument
abortion_26,But I am not the cause of his death ; I have merely chosen not to save him .,NoArgument
abortion_27,"Tomasz Latos , a member of the governing Law and Justice party and head of the Health Committee in the Polish Sejm , or lower house of Parliament , said viewing the legislation as a threat to prenatal diagnostics was “ either an act of ill will or incompetence . ”",NoArgument
abortion_30,A mother ’s right to decide to not put her child through that kind of suffering is her right and her right alone .,Argument_for
abortion_32,"- By terminating a life , can we justify our acts ?",Argument_against
abortion_33,"Well , where are we now ?",NoArgument
abortion_34,"Once the skull is emptied , the intact fetus is removed from the woman ’s body .",NoArgument
abortion_36,is not that they are inadmissible but that they are always true .,NoArgument
abortion_37,An earlier version of the legislation was killed by a filibuster staged by state Sen. Wendy Davis ( D ) .,NoArgument
abortion_38,A woman can not sincerely be considered to have equal standing in society if she does not at least have the choice to remove the challenges that will come with a pregnancy .,Argument_for
abortion_39,I do n't think there 's any confusion ; personhood begins at conception .,Argument_against
abortion_43,I 'll start by saying that I do n't think Christians should be single-issue voters since Christ 's ministry was n't single-issue .,NoArgument
abortion_46,Abortion is unjust because the right to not be killed is more fundamental than the right to not be pregnant .,Argument_against
abortion_47,Which side is right ?,NoArgument
abortion_49,"If we know what an apple is , surely we know what a human being is .",NoArgument
abortion_50,Some people say that self-awareness makes one human .,NoArgument
abortion_51,Keep in mind that I do n’t use this illustration to mean that women are just “ baby-making machines . ”,NoArgument
abortion_52,"In "" The America We Deserve , "" Trump then wrote that he supported a woman 's right to choose .",Argument_for
abortion_53,"Degree of Dependency : If viability makes us human , then all those who depend on insulin or kidney medication are not valuable and we may kill them .",Argument_against
abortion_54,"Their stats also say there are 0.6 deaths per 100,000 abortions , when in reality there are 100,000.6 deaths per 100,000 abortions .",Argument_against
abortion_56,"I 've clearly stated that indirect abortion IS morally permissible in Church teaching , which is what inducing labor to remove the placenta would be ( regardless if it is pre - or post-viability ) .",Argument_for
abortion_57,"Pregnant woman automatically feel for the unborn baby , it is hard for women to go through an abortion and the responsibility falls on people to prevent pregnancy but there are people out there who take the risks and refuse responsibility but that does not mean everyone else should pay the price for it .",Argument_against
abortion_59,"In Gallup ’s data , the percentage of respondents who say a candidate must share their abortion views has fluctuated between 13 and 20 percent .",NoArgument
abortion_61,What is growing in the womb of the woman is alive .,Argument_against
abortion_62,There is no excuse for an abortion .,Argument_against
abortion_63,"Scientifically , we know that from the earliest stages of development , the unborn are distinct , living , and whole human beings .",Argument_against
abortion_64,"This is the only time I ’ve seen no measurable net decline in pro-choice sentiment , relative to pro-life sentiment , when the pool narrows to high-intensity respondents .",NoArgument
abortion_65,"And early abortion can be handled with pills , suction , and a variety of ways being explored , and it is uncommon for abortion of late developed babies .",Argument_for
abortion_66,But it becomes a different matter altogether if the connection between the two individuals seriously threatens the ordinary person 's life .,NoArgument
abortion_69,Almost all legislators who oppose abortion rights also support the death penalty .,NoArgument
abortion_70,"They use these words over and over , as if repeating them often enough will somehow make us all decide that an acorn is actually an oak tree and having a carton of eggs in the fridge is the same as owning a dozen chickens .",Argument_for
abortion_71,"In a contest between an adult with rights that have already attached , and a fetus whose status is ambiguous , the adult wins .",Argument_for
