3,the staff were uber-helpful.,0
4,Great location in front of a u-bahn stop.,0
5,"Our first trip to Berlin, so we were unfamiliar with the city layout.",0
6,But we were drawn to the design of the Art'otel.,0
7,"Yes, the public spaces are nicely designed,",0
8,as are the rooms.,0
10,And the location is definitely out of the way (although there is an U-bahn station just a half block away).,0
11,And we were really put off by the tourist buses and groups.,0
13,"If you do end up here, be sure to specify a room at the back of the hotel.",1
14,The ones on the front are very noisy.,0
16,"The staff was friendly and tried to be accomodating, but couldn't give me a non-smoking room for the first night, nor an internal room,",0
17,and I was woken by the early morning firing up of the local bus service (a courtyard-facing room is essential unless you have industrial strength earplugs.)The rooms are small and ill-conceived.,1
18,Too much attention on 'fabulousness' throughout the hotel (the public spaces are sleek and unwelcoming) and not enough on basic guest comfort.,0
20,The difference was stark.,0
21,"This hotel is located in a very quiet district - barely a passing car on a weekday, completely dead at the weekendand with no local facilities.",0
22,The one bar round the corner had one old pensioner propping the bar up on a Friday evening.,0
23,The hotel itself is already showing signs of age.,0
24,"The fixtures and fittings in the room were tired and worn; edges of shelves worn away, carpets badly stained, window blinds torn and damaged.",0
28,The room was effectively air conditioned (i.e. you could control temperature and speed yourself),0
29,"and this is essential as the hotel's proximity to a very still tributary to the Spree means that the area is plagued by large, voracious mosquitoes.",0
32,The cost of using the solitary PC in the lobby was extortionate.,0
33,"Given the low cost of internet access and PC hardware, all decent hotels now offer such 'business centre' services for free - here,",0
34,it was a credit card driven system charging 1Euro for 3 minutes online time and extra for every printed page.,0
35,"As a general tip, if you need to use the internet whilst in Berlin, look up the Easy Internet cafes before you go, there's a huge one in Kurfurstendam",1
36,and at least one more I saw elsewhere - there access costs 1 Euro for an hour!,0
37,"Overall, the stay at Berlin Mitte was not what I expected from a hotel chain which calls its most basic room 'Superior'.",0
38,It needs to decide whether it wants to be 'designer' or just a smart hostel.,0
39,"For UK travellers, the room was the same size",0
40,and in the same condition as you'd find in a Travelodge.,0
41,"If you expect no more than that, you won't be disappointed.",1
42,"Also, if you're the kind of person who likes to step out of their hotel and straight into the action,",0
43,this won't ring your bell as all destinations will require at least a half hour walk or public transport journey.,0
44,"Rooms nices, Staff helpful.",0
45,"Beds firm, pillows very soft.",0
46,"No shampoo provided in the room, Shower Gel dispensers don't work well.",0
47,"Breakfast expensive, supermarket not far, Good value Internet cafe nearby.",0
48,Close to museum island and U-ban just outside hotel.,0
49,"Our perfect hotel is one that offers a central location to the attractions we want to see - with spacious, comfortable rooms and good service.",0
50,"art'otel, Mitte in Berlin definitely fulfilled these requirements.",0
51,Our room (superior double) was very spacious and extremely comfortable - with a bath for relaxing those tired walking muscles.,0
53,The Hotel is less than 1/2 block from the closest U Bhan station - but is situated in a quiet street.,0
54,"Walking time to many sights (Unter den Linden, Gendarmenmakt, Deutches Museum, Checkpoint Charlie, Nikolaivertel etc. was less than 15 minutes - while virtually everything else was easily accessible by U-Bahn, starting almost next door.",0
55,Spent 3 nights recently at the Artotel Berlin Mitte.,0
56,"It was supposed to be a designer hotel,",0
57,"I have searched for the design,",0
59,"May be the restaurant have something,",0
60,"but the rooms are poorly decorated, with common furniture.",0
61,The bed was not very comfortable.,0
62,In the bathroom there is only liquid soap with two small towels.,0
65,The breakfast was good and the staff friendly.,0
66,We stayed at The Regent in August for two days to celebrate my birthday.,0
67,"Location.... perfect; staff.... warm, welcoming and professional; room... perfectly appointed; food... sublime.",0
68,Certainly one of... if not THE best hotels ever!,0
70,"If you're a walker, you are close to many attractions.",0
71,"Room was big, bath was lovely, but watch out for the tile floor after you shower.",1
73,Put your towel on the wet floor or you will definitely slip.,0
74,Desk staff needs to go to a Waldorf class on manners.,0
76,Room was nice but does need to be vacuumed more frequently than ours was..,0
77,Pretzels and cookies under the bed.,0
80,What a difference..,0
83,"Liked the room, and the location, but didn't care for the staff of the hotel.",0
84,Look around the same area for another hotel.,1
85,Think you can do better.,0
86,We stayed in the Westin Grand Berlin in July 2007.,0
87,"In spite of the fact that the reservation we made through the Starwood Hotels website said our rooms would have Westin's renowned Heavenly Beds, we found that only a few suites actually have the beds.",0
88,The beds we were subjected to were firm to the point of being like sleeping on a sidewalk.,0
89,"Had we not been told in advance how wonderful our stay would be because of the Heavenly Beds,",0
90,we might not have been as unpleasantly surprised.,0
91,The beds and fitness center made it definitely not like a usual Westin stay.,0
92,The pool was lovely,0
93,"but the work-out room was small, dimly-lit, and hot.",0
94,"There were only two treadmills (one of which was broken), a Lifecycle bike, and four computerized weight machines.",0
95,"There was also one ratty, old floor mat.",0
96,"Almost everything in Germany had English translations, but not the machines there.",0
97,"With the highest breakfast prices we've ever seen, it would have been nice to have in-room beverage stations/coffee makers like one usually finds in Westins.",0
98,There's a fantastic deli across the street where we purchased breakfast for four for half the price of a single continental breakfast at the hotel.,0
99,The hotel had two positives: the concierge service and the location.,0
100,The room price was actually pretty reasonable.,0
102,"The location is great,",0
104,but it lacks character and charm.,0
105,There was no luggage rack,0
106,although a call to housekeeping solved this problem.,0
107,There was only 1 chair,0
109,This was the last place we stayed after 2 weeks in Germany,0
110,and it was disappointing to end our trip in a place that was so sterile and impersonal.,0
111,"The Hotel staff were attentive,",0
112,"and I enjoyed the location (near Brandenburg, Museum Island, etc), but I wasn't blown away.",0
113,"I stayed in one of the renovated rooms,",0
114,and the room itself was quite comfortable--but very small.,0
116,"If you want a quiet Hotel near tourist sites, this is for you.",0
118,We stayed at The Westin Grand Hotel,0
119,and it was just fine.,0
121,and the hotel served its purpose.,0
122,"However, it was not spectacular for a few reasons.",0
123,1. At first we got an unrenovated room.,0
124,This was not too miserable,0
127,and boy were we wrong!,0
128,"The funny thing is,",0
129,my husband is usually the one with the back pain!,0
130,When we changed to a renovated room were were delighted with the bathroom,0
131,but still stumped at exactly what was so heavenly about the bed.,0
