2,"none of these is true in this scenario, so you are good here.",0
4,"in this case, the encoding of the data on the wire is not json .",0
7,php decodes the url-encoded post body automatically.,0
11,you don't necessarily have to use get method to retain the sort order.,0
12,you can also use the cookie to store the sort order.in that way your code will look more cleaner.,0
14,"and when the page loads for the first time or refreshes, call the same sort function and call getcookie() to get the cookie value and set that as your sort order before sorting.",0
15,"if you want to use get, this will also do the work when page refreshes , i hope you call this function tablesort() when document is ready.",0
16,you can either do a strtotime function or do an explode and do a mktime of the exploded elements.,0
17,"as was mentioned in a reply, you will want to santize the variables when printing them out, and maybe protect it going in (more than an addslashes)",0
21,"along with this cookie, you must create a row in a table ( sessions ) within your database with the value of the hash , and the corresponding logged in user id.",0
23,"assuming it finds one, grab the user id that matches with the corresponding value, and log that specific user in.",0
24,"same thing goes for when the user logs out; delete the hash from the client-side and the database table, every time (for security purposes).",0
25,"hopefully, this gives you an idea of what you need to do to achieve this.",0
26,"if you want a more in depth explanation on how to do this, i highly suggest reading these:",0
27,the definitive guide to form-based website authentication what is the best way to implement “remember me” for a website?,0
34,you don't need to use match everywhere.,0
36,right after select is where you choose which columns from those rows are displayed.,0
37,order by determines which column and direction the rows are sorted by.,0
39,you're right that sessions cannot be shared in this way.,0
41,make sure the domain parameter when you set the cookie is something like,0
42,then you'll be able to access the cookie from any subdomain of mysite.org,0
44,"regardless of the value of $count at this point, your script will send a location header.",0
45,"in other words, the browser is receiving a redirect either way, whether $count is equal to 1 or not.",0
46,"in combination with this line, your loop is defined.",0
47,"this evaluates to true if the user has these cookies defined, which happens when they are logging in for the first time, or have already logged in.",0
48,"if they are logged in, their username and password must be valid, and $count will end up as 1, because they are in the database.",0
50,this is the essence of your problem.,0
52,"you already have three cookies: username , password , and typeofuser .",0
53,"the system you have works fine, but most authentication scripts use sessions, accessible like cookies ($_cookie['foo']), but with the $_session variable instead.",0
54,"the advantage to using session is that the values you store in them are not available to anyone but scripts on your server/site, to view, or to edit.",0
55,"in general, the less information you expose to the user, the better.",0
56,"if you need clarification, check out this stackoverflow post or the basic examples on the php website .",0
57,"one more thing to point out is in your script, if(isset($_cookie[""username""])&amp;&amp;isset($_cookie[""password""])){ has no else statement.",0
58,"if one or both of these cookies are not defined, no code will be executed, and what i am assuming is a protected page will be displayed publicly.",0
59,"you may want to add an else statement, something along the lines of:",0
